,V,VS,B,FJ,PR,VB,TOR,MU,ZV
V,0,58,50,61,32,37,29,39,25
VS,8,0,22,22,9,27,20,10,48
B,3,3,0,19,29,12,13,19,8
FJ,5,8,9,0,33,38,35,32,57
PR,4,7,9,1,0,28,26,16,23
VB,4,3,0,0,6,0,7,6,12
TOR,2,0,4,1,4,4,0,5,3
MU,0,2,1,1,5,8,3,0,10
ZV,3,1,3,0,0,4,1,2,0
